,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5
,,Years,NBA,,
3PA,,,3PM,3P%,3P% share in Total Points
16.7931,,1996-97,6.044828,35.96207,18.73551724
12.71379,,1997-98,4.403448276,34.37931,13.87586207
13.16552,,1998-99,4.455172,33.61724,14.54689655
13.71724,,1999-00,4.837931,35.28966,14.85172
13.7069,,2000-01,4.841379,35.18276,15.277241
14.75517,,2001-02,5.213793,35.17586,16.32759
14.67586,,2002-03,5.134483,34.66207,16.14483
14.92069,,2003-04,5.182759,34.55517,16.62759
15.75,,2004-05,5.6,35.31667,17.22026
15.98333,,2005-06,5.726667,35.68667,17.63767
16.94,,2006-07,6.07,34.904534444444444,18.37033
18.10667,,2007-08,6.563333,36.02333,19.63233
18.13333,,2008-09,6.653333,36.54333,19.94667
18.13667,,2009-10,6.44,35.27667,19.16533
18.01,,2010-11,6.463333,35.62667,19.40233
18.38667,,2011-12,6.406667,34.72333,17.025702632857143
19.96667,,2012-13,7.163333,35.75667,21.82267
21.53667,,2013-14,7.743333,35.87767,22.931
22.4,,2014-15,7.9,34.9,23.5
24.1,,2015-16,8.5,35.3,24.8
27,,2016-17,9.7,35.7,27.4
29,,2017-18,10.5,36.2,29.6
32,,2018-19,11.4,35.6,30.6
34.1,,2019-20,12.2,35.8,32.7
